input_raw,rxnorm_rxcui,rxnorm_name,rxnorm_tty,atc_l1_code,atc_l1_name,atc_l2_code,atc_l2_name,atc_l3_code,atc_l3_name,atc_l4_code,atc_l4_name
cefalexina,2231.0,cephalexin,IN,J,,J01,,J01D,,J01DB,First-generation cephalosporins
dimenhidrinato ocasional,3444.0,dimenhydrinate,IN,R,,R06,,R06A,,R06AA,Aminoalkyl ethers
amlodipino,17767.0,amlodipine,IN,C,,C09,,C09D,,C09DX,"Angiotensin II receptor blockers (ARBs), other combinations"
flixotide inh,,,,,,,,,,,
dolof,2711803.0,menthol 0.02 MG/MG / methyl salicylate 0.1 MG/MG Topical Gel,SCD,M,,M02,,M02A,,M02AC,Preparations with salicylic acid derivatives
isoface,,,,,,,,,,,
bella face,1297525.0,bald-faced hornet venom protein,IN,,,,,,,,
ceftriaxona,2193.0,ceftriaxone,IN,J,,J01,,J01D,,J01DD,Third-generation cephalosporins
alendronato,46041.0,alendronate,IN,M,,M05,,M05B,,M05BA,Bisphosphonates
herrex fol,1607001.0,Niva-Fol,BN,B,,B03,,B03B,,B03BA,Vitamin B12 (cyanocobalamin and analogues)
euthirox,217006.0,Euthyrox,BN,H,,H03,,H03A,,H03AA,Thyroid hormones
tacrolimus xl,42316.0,tacrolimus,IN,L,,L04,,L04A,,L04AD,Calcineurin inhibitors
vit,11246.0,vitamin A,IN,A,,A11,,A11J,,A11JA,Combinations of vitamins
colirios,680973.0,Soliris,BN,L,,L04,,L04A,,L04AJ,Complement inhibitors
loperamida,6468.0,loperamide,IN,A,,A07,,A07D,,A07DA,Antipropulsives
ninguno,,,,,,,,,,,
mitrul x,217263.0,Gas-X,BN,A,,A03,,A03A,,A03AX,Other drugs for functional gastrointestinal disorders
insulina glargina,274783.0,insulin glargine,IN,A,,A10,,A10A,,A10AE,"Insulins and analogues for injection, long-acting"
tacte rge,2380356.0,Tact,BN,D,,D04,,D04A,,D04AA,Antihistamines for topical use
propanolol,8787.0,propranolol,IN,C,,C07,,C07A,,C07AA,"Beta blocking agents, non-selective"
losartan mg cada horas,52175.0,losartan,IN,C,,C09,,C09C,,C09CA,"Angiotensin II receptor blockers (ARBs), plain"
paracetamol,161.0,acetaminophen,IN,N,,N02,,N02A,,N02AJ,Opioids in combination with non-opioid analgesics
izoclon,,,,,,,,,,,
ditopax,151651.0,Ditropan,BN,G,,G04,,G04B,,G04BD,Drugs for urinary frequency and incontinence
vitamina c,1151.0,ascorbic acid,IN,A,,A11,,A11J,,A11JC,"Vitamins, other combinations"
anovulatorios,,,,,,,,,,,
spray nasal,126542.0,Nasal Spray,DF,,,,,,,,
magnesio,6574.0,magnesium,IN,,,,,,,,
hormona crecinmieto,1427222.0,parathyroid hormone,IN,H,,H05,,H05A,,H05AA,Parathyroid hormones and analogues
desonida crema,3254.0,desonide,IN,D,,D07,,D07A,,D07AB,"Corticosteroids, moderately potent (group II)"
spray nasal esteroide,2720028.0,menthol 0.0035 MG/MG / petrolatum 0.797 MG/MG / zinc oxide 0.05 MG/MG Rectal Ointment,SCD,D,,D02,,D02A,,D02AB,Zinc products
gemfibrozilo,4719.0,gemfibrozil,IN,C,,C10,,C10A,,C10AB,Fibrates
analgesico,998598.0,Analgesic Balm GRX,BN,M,,M02,,M02A,,M02AC,Preparations with salicylic acid derivatives
nungumo,,,,,,,,,,,
rifax,35619.0,rifaximin,IN,A,,A07,,A07A,,A07AA,Antibiotics
buscapina,1597298.0,acetaminophen 500 MG / caffeine 60 MG / pyrilamine maleate 15 MG Oral Tablet,SCD,N,,N02,,N02B,,N02BE,Anilides
metformina x,217263.0,Gas-X,BN,A,,A03,,A03A,,A03AX,Other drugs for functional gastrointestinal disorders
salbutamol,435.0,albuterol,IN,R,,R03,,R03A,,R03AC,Selective beta-2-adrenoreceptor agonists
buscpaina,1597298.0,acetaminophen 500 MG / caffeine 60 MG / pyrilamine maleate 15 MG Oral Tablet,SCD,N,,N02,,N02B,,N02BE,Anilides
ac valproico,11118.0,valproic acid,PIN,N,,N03,,N03A,,N03AG,Fatty acid derivatives
asa,1191.0,aspirin,IN,N,,N02,,N02B,,N02BA,Salicylic acid and derivatives
medicacion,,,,,,,,,,,
vit d,11253.0,vitamin D,IN,,,,,,,,
sertralina,36437.0,sertraline,IN,N,,N06,,N06A,,N06AB,Selective serotonin reuptake inhibitors
ciclorelax,,,,,,,,,,,
isofaces,,,,,,,,,,,
deflazacort tab x mg tab cada hs,371693.0,deflazacort Oral Tablet,SCDF,H,,H02,,H02A,,H02AB,Glucocorticoids
quimioterapia,,,,,,,,,,,
ver ea,1550700.0,Kentucky bluegrass pollen extract 100 IR / orchard grass pollen extract 100 IR / perennial rye grass pollen extract 100 IR / sweet vernal grass pollen extract 100 IR / Timothy grass pollen extract 100 IR Sublingual Tablet,SCD,V,,V01,,V01A,,V01AA,Allergen extracts
inhaladores symbicort,327148.0,Symbicort,BN,R,,R03,,R03A,,R03AK,"Adrenergics in combination with corticosteroids or other drugs, excl. anticholinergics"
hioscina,9603.0,scopolamine hydrobromide,PIN,A,,A03,,A03C,,A03CB,Belladonna and derivatives in combination with psycholeptics
quetiapina,51272.0,quetiapine,IN,N,,N05,,N05A,,N05AH,"Diazepines, oxazepines, thiazepines and oxepines"
hctz,5487.0,hydrochlorothiazide,IN,C,,C09,,C09D,,C09DX,"Angiotensin II receptor blockers (ARBs), other combinations"
antirretrovirales,,,,,,,,,,,
metformina,6809.0,metformin,IN,A,,A10,,A10B,,A10BD,Combinations of oral blood glucose lowering drugs
salbutamol crisis,435.0,albuterol,IN,R,,R03,,R03A,,R03AC,Selective beta-2-adrenoreceptor agonists
dolfenax,,,,,,,,,,,
levofloxacilina,82122.0,levofloxacin,IN,J,,J01,,J01M,,J01MA,Fluoroquinolones
clonazepam,2598.0,clonazepam,IN,N,,N03,,N03A,,N03AE,Benzodiazepine derivatives
acos,,,,,,,,,,,
glucophage,151827.0,Glucophage,BN,A,,A10,,A10B,,A10BA,Biguanides
synthroid,224920.0,Synthroid,BN,H,,H03,,H03A,,H03AA,Thyroid hormones
celecoxib,140587.0,celecoxib,IN,L,,L01,,L01X,,L01XX,Other antineoplastic agents
ceflexina,2231.0,cephalexin,IN,J,,J01,,J01D,,J01DB,First-generation cephalosporins
tacrolimus,42316.0,tacrolimus,IN,L,,L04,,L04A,,L04AD,Calcineurin inhibitors
clindamicina,2582.0,clindamycin,IN,J,,J01,,J01F,,J01FF,Lincosamides
analgesicos,998598.0,Analgesic Balm GRX,BN,M,,M02,,M02A,,M02AC,Preparations with salicylic acid derivatives
galvsvumet dia,996520.0,dextromethorphan hydrobromide 2 MG/ML / guaifenesin 20 MG/ML Oral Solution,SCD,R,,R05,,R05D,,R05DA,Opium alkaloids and derivatives
fenobarbital,8004.0,pentobarbital,IN,N,,N05,,N05C,,N05CA,"Barbiturates, plain"
alopurinol,519.0,allopurinol,IN,M,,M04,,M04A,,M04AA,Preparations inhibiting uric acid production
losartan mg,52175.0,losartan,IN,C,,C09,,C09C,,C09CA,"Angiotensin II receptor blockers (ARBs), plain"
esomeprzol,283742.0,esomeprazole,IN,A,,A02,,A02B,,A02BC,Proton pump inhibitors
metoprolol tab mg diarias,372891.0,metoprolol Oral Tablet,SCDF,C,,C07,,C07A,,C07AB,"Beta blocking agents, selective"
vitamna,11246.0,vitamin A,IN,A,,A11,,A11J,,A11JA,Combinations of vitamins
enoxaparainna mg sc dia,67108.0,enoxaparin,IN,B,,B01,,B01A,,B01AB,Heparin group
muerdago,,,,,,,,,,,
allupurinol,519.0,allopurinol,IN,M,,M04,,M04A,,M04AA,Preparations inhibiting uric acid production
colmibe,,,,,,,,,,,
enoxaparina,67108.0,enoxaparin,IN,B,,B01,,B01A,,B01AB,Heparin group
somatropina,61148.0,somatropin,IN,H,,H01,,H01A,,H01AC,Somatropin and somatropin agonists
sinalgen,,,,,,,,,,,
crema psoriasis,218148.0,MG 217 Psoriasis,BN,D,,D05,,D05A,,D05AA,Tars
topiramato,38404.0,topiramate,IN,A,,A08,,A08A,,A08AA,Centrally acting antiobesity products
ninugno,,,,,,,,,,,
apronax,,,,,,,,,,,
glucosamina condroitin,4845.0,glucosamine,IN,M,,M01,,M01A,,M01AX,"Other antiinflammatory and antirheumatic agents, non-steroids"
ciprofloxacina,2551.0,ciprofloxacin,IN,S,,S01,,S01A,,S01AE,Fluoroquinolones
bellaface,,,,,,,,,,,
omega ginko bilova,1356135.0,Ginko biloba leaf oil,IN,,,,,,,,
medicamentos osteoporosis,705824.0,100 ML zoledronic acid 0.05 MG/ML Injection,SCD,M,,M05,,M05B,,M05BA,Bisphosphonates
flixotide inhalador,,,,,,,,,,,
keppra,261547.0,Keppra,BN,N,,N03,,N03A,,N03AX,Other antiepileptics
meloxicam,41493.0,meloxicam,IN,M,,M01,,M01A,,M01AC,Oxicams
reutril,,,,,,,,,,,
ketotifeno,6146.0,ketotifen,IN,S,,S01,,S01G,,S01GX,Other antiallergics
azatiprina,1256.0,azathioprine,IN,L,,L04,,L04A,,L04AX,Other immunosuppressants
trayenta duo,1369778.0,Effaclar Duo,BN,D,,D10,,D10A,,D10AE,Peroxides
trazadona,10737.0,trazodone,IN,N,,N06,,N06A,,N06AX,Other antidepressants
ertapenem,325642.0,ertapenem,IN,J,,J01,,J01D,,J01DH,Carbapenems
levotiiroxina,10582.0,levothyroxine,IN,H,,H03,,H03A,,H03AA,Thyroid hormones
belometasona,1347.0,beclomethasone,IN,A,,A07,,A07E,,A07EA,Corticosteroids acting locally
domperidona,3626.0,domperidone,IN,A,,A03,,A03F,,A03FA,Propulsives
haloperidol,5093.0,haloperidol,IN,N,,N05,,N05A,,N05AD,Butyrophenone derivatives
gaviscon,25655.0,Gaviscon,BN,A,,A02,,A02A,,A02AD,"Combinations and complexes of aluminium, calcium and magnesium compounds"
atiretrovirales,,,,,,,,,,,
meformina,6809.0,metformin,IN,A,,A10,,A10B,,A10BD,Combinations of oral blood glucose lowering drugs
micardis,218353.0,Micardis,BN,C,,C09,,C09C,,C09CA,"Angiotensin II receptor blockers (ARBs), plain"
sinvastatina,36567.0,simvastatin,IN,C,,C10,,C10A,,C10AA,HMG CoA reductase inhibitors
harmetone,,,,,,,,,,,
trileptal,261680.0,Trileptal,BN,N,,N03,,N03A,,N03AF,Carboxamide derivatives
lanzoprazol,17128.0,lansoprazole,IN,A,,A02,,A02B,,A02BC,Proton pump inhibitors
janumet,1372738.0,Janumet,BN,A,,A10,,A10B,,A10BD,Combinations of oral blood glucose lowering drugs
losartan mg c horas,52175.0,losartan,IN,C,,C09,,C09C,,C09CA,"Angiotensin II receptor blockers (ARBs), plain"
levotiroxina mcg dia,10582.0,levothyroxine,IN,H,,H03,,H03A,,H03AA,Thyroid hormones
antialergenicos,,,,,,,,,,,
retrovirales,202791.0,Retrovir,BN,J,,J05,,J05A,,J05AF,Nucleoside and nucleotide reverse transcriptase inhibitors
ac folico,4511.0,folic acid,IN,B,,B03,,B03A,,B03AD,Iron in combination with folic acid
excedrin,217020.0,Excedrin,BN,A,,A01,,A01A,,A01AD,Other agents for local oral treatment
ninguo,,,,,,,,,,,
gestavit,,,,,,,,,,,
metimazol,6835.0,methimazole,IN,H,,H03,,H03B,,H03BB,Sulfur-containing imidazole derivatives
prednisona,8640.0,prednisone,IN,H,,H02,,H02A,,H02AB,Glucocorticoids
risperdal,152318.0,Risperdal,BN,N,,N05,,N05A,,N05AX,Other antipsychotics
dolex fote,2598449.0,Dodex,BN,B,,B03,,B03B,,B03BA,Vitamin B12 (cyanocobalamin and analogues)
sulfato ferrosos,24947.0,ferrous sulfate,IN,B,,B03,,B03A,,B03AD,Iron in combination with folic acid
calcio,1895.0,calcium,IN,,,,,,,,
hormonas,1427222.0,parathyroid hormone,IN,H,,H05,,H05A,,H05AA,Parathyroid hormones and analogues
flixotide,,,,,,,,,,,
esomepraxol,283742.0,esomeprazole,IN,A,,A02,,A02B,,A02BC,Proton pump inhibitors
gabapentin,25480.0,gabapentin,IN,N,,N02,,N02B,,N02BF,Gabapentinoids
moltoben,1020364.0,ethanol 0.62 ML/ML Topical Spray,SCD,D,,D08,,D08A,,D08AX,Other antiseptics and disinfectants
medicamento prostata,2669316.0,Flemingia prostrata whole extract,IN,,,,,,,,
calmidol,795480.0,Calcidol,BN,A,,A11,,A11C,,A11CC,Vitamin D and analogues
carvedilol,20352.0,carvedilol,IN,C,,C07,,C07A,,C07AG,Alpha and beta blocking agents
reultril,,,,,,,,,,,
amlodipino mg dia,17767.0,amlodipine,IN,C,,C09,,C09D,,C09DX,"Angiotensin II receptor blockers (ARBs), other combinations"
tamoxifen,10324.0,tamoxifen,IN,L,,L02,,L02B,,L02BA,Anti-estrogens
symbicort inh,1185492.0,Symbicort Inhalant Product,SBDG,R,,R03,,R03A,,R03AK,"Adrenergics in combination with corticosteroids or other drugs, excl. anticholinergics"
sulfato ferroso,2473.0,chondroitin sulfates,IN,M,,M01,,M01A,,M01AX,"Other antiinflammatory and antirheumatic agents, non-steroids"
dhk,,,,,,,,,,,
l tiroina,153970.0,hyoscyamine,IN,A,,A03,,A03B,,A03BA,"Belladonna alkaloids, tertiary amines"
calcitrion,1894.0,calcitriol,IN,A,,A11,,A11C,,A11CC,Vitamin D and analogues
toma medicacion,,,,,,,,,,,
liralgutida inyeccion diaria,,,,,,,,,,,
nignua,,,,,,,,,,,
midazolam mcg kg minuto,6960.0,midazolam,IN,N,,N05,,N05C,,N05CD,Benzodiazepine derivatives
multivitaminicos,313599.0,ascorbic acid 35 MG/ML / cholecalciferol 0.01 MG/ML / vitamin A 0.45 MG/ML Oral Solution,SCD,A,,A11,,A11C,,A11CA,"Vitamin A, plain"
syntrhoid,224920.0,Synthroid,BN,H,,H03,,H03A,,H03AA,Thyroid hormones
cardioasa,1351002.0,Leonurus cardiaca extract,IN,,,,,,,,
salbutamo inh,435.0,albuterol,IN,R,,R03,,R03A,,R03AC,Selective beta-2-adrenoreceptor agonists
nedox,8183.0,phenytoin,IN,N,,N03,,N03A,,N03AB,Hydantoin derivatives
parches codeina,2670.0,codeine,IN,R,,R05,,R05D,,R05DA,Opium alkaloids and derivatives
omega,4301.0,omega-3 fatty acids,IN,,,,,,,,
lamotrigina,28439.0,lamotrigine,IN,N,,N03,,N03A,,N03AX,Other antiepileptics
lansoprazol,17128.0,lansoprazole,IN,A,,A02,,A02B,,A02BC,Proton pump inhibitors
vitams,1716046.0,Vital E- 500,BN,,,,,,,,
dexapron,1358848.0,Exaprin,BN,A,,A01,,A01A,,A01AD,Other agents for local oral treatment
azatioprina,1256.0,azathioprine,IN,L,,L04,,L04A,,L04AX,Other immunosuppressants
divastatina,476349.0,ezetimibe 10 MG / simvastatin 20 MG Oral Tablet,SCD,C,,C10,,C10B,,C10BA,Combinations of various lipid modifying agents
pantoprazol,40790.0,pantoprazole,IN,A,,A02,,A02B,,A02BC,Proton pump inhibitors
lactulax,1311289.0,Lactuca virosa extract,IN,,,,,,,,
tofacinib,1357536.0,tofacitinib,IN,L,,L04,,L04A,,L04AF,Janus-associated kinase (JAK) inhibitors
enalapril mg dia,3827.0,enalapril,IN,C,,C09,,C09A,,C09AA,"ACE inhibitors, plain"
budesonida inhalador,19831.0,budesonide,IN,A,,A07,,A07E,,A07EA,Corticosteroids acting locally
memantina,6719.0,memantine,IN,N,,N06,,N06D,,N06DA,Anticholinesterases
tinidazol,10612.0,tinidazole,IN,G,,G01,,G01A,,G01AF,Imidazole derivatives
acetaminofen codeina,161.0,acetaminophen,IN,N,,N02,,N02A,,N02AJ,Opioids in combination with non-opioid analgesics
urocuad,,,,,,,,,,,
estaphen,2626481.0,Euthaphen,BN,N,,N05,,N05C,,N05CA,"Barbiturates, plain"
modiretic,2657096.0,amiloride hydrochloride / hydrochlorothiazide Oral Tablet [Moduretic],SBDFP,,,,,,,,
topiramato veces dia,38404.0,topiramate,IN,A,,A08,,A08A,,A08AA,Centrally acting antiobesity products
dorixina relax,197502.0,chlorzoxazone 500 MG Oral Tablet,SCD,M,,M03,,M03B,,M03BB,"Oxazol, thiazine, and triazine derivatives"
vitamina,11246.0,vitamin A,IN,A,,A11,,A11J,,A11JA,Combinations of vitamins
melatonina,6711.0,melatonin,IN,N,,N05,,N05C,,N05CX,"Hypnotics and sedatives in combination, excl. barbiturates"
anotado ea,,,,,,,,,,,
esomprazol,283742.0,esomeprazole,IN,A,,A02,,A02B,,A02BC,Proton pump inhibitors
c folico,1151.0,ascorbic acid,IN,A,,A11,,A11J,,A11JC,"Vitamins, other combinations"
aspirina,198471.0,aspirin 500 MG Oral Tablet,SCD,A,,A01,,A01A,,A01AD,Other agents for local oral treatment
trimetropin sulfametoxazol,10180.0,sulfamethoxazole,IN,J,,J01,,J01E,,J01EC,Intermediate-acting sulfonamides
valproico,11118.0,valproic acid,PIN,N,,N03,,N03A,,N03AG,Fatty acid derivatives
cefazolina,2180.0,cefazolin,IN,J,,J01,,J01D,,J01DB,First-generation cephalosporins
xanax dia,202363.0,Xanax,BN,N,,N05,,N05B,,N05BA,Benzodiazepine derivatives
ninguna,,,,,,,,,,,
furoato fluticasona,705022.0,fluticasone furoate,PIN,R,,R03,,R03A,,R03AK,"Adrenergics in combination with corticosteroids or other drugs, excl. anticholinergics"
pancreogen natural,33093.0,peppermint preparation,IN,,,,,,,,
micofenolato,,,,,,,,,,,
furosemida x,217263.0,Gas-X,BN,A,,A03,,A03A,,A03AX,Other drugs for functional gastrointestinal disorders
amitriptilina,704.0,amitriptyline,IN,N,,N06,,N06A,,N06AA,Non-selective monoamine reuptake inhibitors
metarsal,,,,,,,,,,,
glucosamine,4845.0,glucosamine,IN,M,,M01,,M01A,,M01AX,"Other antiinflammatory and antirheumatic agents, non-steroids"
testosterona,10379.0,testosterone,IN,G,,G03,,G03B,,G03BA,3-oxoandrosten (4) derivatives
enf actual,1945047.0,30 ACTUAT fluticasone furoate 0.1 MG/ACTUAT / umeclidinium 0.0625 MG/ACTUAT / vilanterol 0.025 MG/ACTUAT Dry Powder Inhaler,SCD,R,,R03,,R03A,,R03AL,Adrenergics in combination with anticholinergics incl. triple combinations with corticosteroids
antihistaminico,1366495.0,Ahist Antihistamine,BN,R,,R06,,R06A,,R06AE,Piperazine derivatives
nifedipinno tacrolimus,42316.0,tacrolimus,IN,L,,L04,,L04A,,L04AD,Calcineurin inhibitors
metoprolol,6918.0,metoprolol,IN,C,,C07,,C07F,,C07FB,Beta blocking agents and calcium channel blockers
escitalopram,321988.0,escitalopram,IN,N,,N06,,N06A,,N06AB,Selective serotonin reuptake inhibitors
atomoseptina,38400.0,atomoxetine,IN,N,,N06,,N06B,,N06BA,Centrally acting sympathomimetics
flunaricina,4459.0,flunarizine,IN,N,,N07,,N07C,,N07CA,Antivertigo preparations
olmetec amlodipino,17767.0,amlodipine,IN,C,,C09,,C09D,,C09DX,"Angiotensin II receptor blockers (ARBs), other combinations"
vit colageno,11246.0,vitamin A,IN,A,,A11,,A11J,,A11JA,Combinations of vitamins
apixaban,1364430.0,apixaban,IN,B,,B01,,B01A,,B01AF,Direct factor Xa inhibitors
valerina acos,253206.0,valerian root extract,IN,N,,N05,,N05C,,N05CM,Other hypnotics and sedatives
duloxetina,72625.0,duloxetine,IN,N,,N06,,N06A,,N06AX,Other antidepressants
esomeprazo,283742.0,esomeprazole,IN,A,,A02,,A02B,,A02BC,Proton pump inhibitors
duodart,,,,,,,,,,,
esomeprazol mg dia,283742.0,esomeprazole,IN,A,,A02,,A02B,,A02BC,Proton pump inhibitors
precuror lineas celulares,1307645.0,Aspalathus linearis leaf extract,IN,,,,,,,,
janumet dos dia,1372738.0,Janumet,BN,A,,A10,,A10B,,A10BD,Combinations of oral blood glucose lowering drugs
analgesicos acetaminofen naproxen,1008561.0,acetaminophen / naproxen,MIN,N,,N02,,N02B,,N02BE,Anilides
inhaladores salbutamol,435.0,albuterol,IN,R,,R03,,R03A,,R03AC,Selective beta-2-adrenoreceptor agonists
pilocarpina,8328.0,pilocarpine,IN,S,,S01,,S01E,,S01EB,Parasympathomimetics
losartan mg c,52175.0,losartan,IN,C,,C09,,C09C,,C09CA,"Angiotensin II receptor blockers (ARBs), plain"
sofosbuvir daclatasvir,1606218.0,daclatasvir,IN,J,,J05,,J05A,,J05AP,Antivirals for treatment of HCV infections
valproex,11118.0,valproic acid,PIN,N,,N03,,N03A,,N03AG,Fatty acid derivatives
misorpolol,,,,,,,,,,,
amoxacilina,,,,,,,,,,,
tamsulosina,77492.0,tamsulosin,IN,G,,G04,,G04C,,G04CA,Alpha-adrenoreceptor antagonists
ciclobenzaprina,21949.0,cyclobenzaprine,IN,M,,M03,,M03B,,M03BX,Other centrally acting agents
losartan mg dia,52175.0,losartan,IN,C,,C09,,C09C,,C09CA,"Angiotensin II receptor blockers (ARBs), plain"
inhaladores sabe,,,,,,,,,,,
asa susp,1191.0,aspirin,IN,N,,N02,,N02B,,N02BA,Salicylic acid and derivatives
pediavit,352877.0,PEDIARIX,BN,J,,J07,,J07A,,J07AF,Diphtheria vaccines
efesor,,,,,,,,,,,
betaloc,2655450.0,metoprolol tartrate Oral Tablet [Betaloc],SBDFP,,,,,,,,
hallopurinol,519.0,allopurinol,IN,M,,M04,,M04A,,M04AA,Preparations inhibiting uric acid production
symbicort inhalador,327148.0,Symbicort,BN,R,,R03,,R03A,,R03AK,"Adrenergics in combination with corticosteroids or other drugs, excl. anticholinergics"
