input_es,input_en,icd10pcs_code,icd10pcs_term
RESECCION + RECONSTRUCCION,RESECTION + RECONSTRUCTION,G9613,Doc post surg anatomy
HEPATECTOMIA  PARCIAL + RECONSTRUCCIÓN DE VOIAS BILIARES .,PARTIAL HEPATECTOMY + BILE WAY RECONSTRUCTION.,,
LAPAROSCOPIA DX,DX LAPAROSCOPY,G9067,Onc dx nsclc dx unknown nos
REEMPLAZO VALV AORTICA Y AORTA ASCENDENTE,AORTIC VALVE AND ASCENDING AORTA REPLACEMENT,,
ARTROSCOPIA RODILLA IZQ,LEFT KNEE ARTHROSCOPY,G9502,Med reas no perf foot exam
REPARACION HOMBRO DER Y BICEPS,RIGHT SHOULDER AND BICEPS REPAIR,,
ORQUIDOPEXIA Y HERNIORRAFIA,ORCHIDOPEXY AND HERNIORRHAPHY,,
COGULACIÓN CON ARGÓN PLASMA .,COGULATION WITH ARGON PLASMA.,,
CIRUGIA LASER DE LA VIA AEREA,LASER SURGERY OF THE AIRWAY,,
RETIRO DE MAT DE OST,OST MAT REMOVAL,A4422,Ost pouch absorbent material
ARTROSCOPIA DE HOMBRO,SHOULDER ARTHRSCOPY,L5699,Shoulder harness
HISTERECTOMIA VAGINAL + COPORRAFIA + CISTOPEXIA,VAGINAL HYSTERECTOMY + COPORRHAPHY + CYSTOPEXY,,
CESAREA/POMEROY,CESAREA/POMEROY,S9438,Cesarean birth class
RESECCION ENDOSCOPICA DE LESION LARINGEA,ENDOSCOPIC RESECTION OF LARYNGEAL LESION,,
AERTROSCOPIA DE CADERA IZQUIERDA .,LEFT HIP AERTHROSCOPY.,G8395,Lvef>=40% doc normal or mild
DESCOMPRESION ENDOSCOPICA,ENDOSCOPIC DECOMPRESSION,C9724,Eps stomach plic
"RESECCION, BX PARPADOS YCONJUNTIVA","RESECTION, BX EYELIDS AND CONJUNCTIVA",,
REDUCCION Y OTS,REDUCTION AND OTS,E1006,Pwr seat combo w/o shear
REPARACION,REPAIR,L8049,Repair maxillofacial prosth
RETIRO MATERIAL DE OTS,OTS MATERIAL REMOVAL,L1653,Ho abduction static ots
BIOPSIA DE ENDOMETRIO MAS HISTEROSCOPIA,ENDOMETRIAL BIOPSY PLUS HYSTEROSCOPY,G9823,Endo smpl/hyst bx res doc
ENDOSCOPIA,ENDOSCOPY,C9779,Esd endoscopy or colonoscopy
ARTROSCOPIA DE RODILLA IZQUIERDA,LEFT KNEE ARTHROSCOPY,G9502,Med reas no perf foot exam
POMEROY LIGADURA TUBARICA,POMEROY TUBAL LIGATION,,
RETIRO DE MOTS,MOTORCYCLE REMOVAL,G6019,Colonoscopy lesion removal
ORQUIDOPEXIA IZDA,LEFT ORCHIDOPEXY,G8395,Lvef>=40% doc normal or mild
ENDOSCOPIA MAS COLONOSCOPIA,ENDOSCOPY PLUS COLONOSCOPY,C9779,Esd endoscopy or colonoscopy
ESFINTEROTOMIA.,SPHINTEROTOMY.,,
ARTRODESIS INTERFALANGICA EN MANO DERECHA,INTERPHALANGIC ARTHRODESIS IN THE RIGHT HAND,,
DESBRIDAMIENTO Y SECUESTRECTOMIA DE COLUMNA,SPINE DEBRIDEMENT AND SEQUESTRECTOMY,,
HERNIORRAFIA UMBILICAL Y CIRCUNCISION,UMBILICAL HERNIORRHAPHY AND CIRCUMCISION,,
CATETER IMPLANTABLE,IMPLANTABLE CATHETER,E0786,Implantable pump replacement
ENDOSCOPIA DIG ALTA,HIGH DIG ENDOSCOPY,K0004,High strength ltwt whlchr
HERNIORRAFIA,HERNIORRHAPHY,,
PANCREATODUODENECTOMIA,PANCREATODUODENECTOMY,,
LIOBERACION DE TUNEL DEL CARPO MANO DERECHA,RIGHT HAND CARPAL TUNNEL RELEASE,,
HISTERECTOIA POR LAPAROSCOPIA,HYSTERECTOIA BY LAPAROSCOPY,,
HERNIORRAFIA INGUINAL DERECHA Y UMBILICAL,RIGHT INGUINAL AND UMBILICAL HERNIORRHAPHY,,
CX ORTOPEDICA MEDIANA COMPLEJIDAD,ORTHOPEDIC CX MEDIUM COMPLEXITY,,
TENDOSINOVECTOMIA DE F,TENDOSYNOVECTOMY OF F,,
RETIRO CATETER IMPLANTABLE,IMPLANTABLE CATHETER REMOVAL,E0786,Implantable pump replacement
MIOMECTOMIA POR LAPAROSCOPIA,LAPAROSCOPY MYOMECTOMY,G0342,Laparoscopy islet cell trans
COLONOSCOPIA,COLONOSCOPY,G6019,Colonoscopy lesion removal
RESECCION QUISTE Y RECONSTRUCCION COLGAJO,CYST RESECTION AND FLAP RECONSTRUCTION,,
REDUCCION ABIERTA DE LUXACION CONGENITA DE CADERA DERECHA,OPEN REDUCTION OF CONGENITAL DISLOCATION OF THE RIGHT HIP,,
RSTROSCOPIA TOBILLO IZQUIERDO,LEFT ANKLE RSTROSCOPY,G8395,Lvef>=40% doc normal or mild
ENDOSCOPIA DIGESTIVA,DIGESTIVE ENDOSCOPY,B4105,Enzyme cartridge enteral nut
INFILTRACION,INFILTRATION,,
HISTERESCOPIA Y RESECCION DE POLIPO,HYSTERESCOPY AND POLYP RESECTION,,
"CISTOPEXIA, HISTERECTOMIA- COLPORRAFIA","CYSTOPEXY, HYSTERECTOMY- COLPORRHAPHY",,
CX DE MANO MEDIANA COMPLEJIDAD,MEDIUM COMPLEXITY HANDHELD CX,,
PROSTATECTOMÍA ABIERTA + EXTRACCIÓN DE C. EXTRAÑOS EN VEJIGA,OPEN PROSTATECTOMY + EXTRACTION OF FOREIGN C. IN THE BLADDER,,
HISTEROSCOPIA,HYSTEROSCOPY,G9823,Endo smpl/hyst bx res doc
FISTULECTOMIA ANOPERINEAL,ANOPERINEAL FISTULECTOMY,,
RETIRO DE CATETER IMPLANTABLE,REMOVAL OF IMPLANTABLE CATHETER,G0309,Rem/inser glu sensor dif sit
"IQ: DECORTICACION O CURETAJE OSEO EN HUESO FACIAL, BIOPSIA DE HUESOS MAXILARES","IQ: BONE DECORTICATION OR CURETAGE IN FACIAL BONE, BIOPSY OF MAXILLARY BONES",,
ARTERIOGRAFIA VERTEBRAL BILATERAL + ANGIOPLASTIA,BILATERAL VERTEBRAL ARTERIOGRAPHY + ANGIOPLASTY,,
CUADRANTECTOMIA DE MAMA,BREAST QUADRANTECTOMY,C1789,"Prosthesis, breast, imp"
ARTRODESIS SUBTALAR DISTRACTORIA CON INJERTO VIA ABIERTA PIE IZQUIERDO,SUBTALAR ARTHRODESIS DISTRACTORY WITH OPEN WAY GRAFT LEFT FOOT,,
CUADRANTECTOMIA EN MAMA DERECHA + ROTACION DE COLGAJO,QUADRANTECTOMY IN THE RIGHT BREAST + FLAP ROTATION,,
RNM CEREBRO,BRAIN MRI,G9538,Adv brain image ordered
RMN ABDOMINAL,ABDOMINAL MRI,G9455,"Abd imag w/us, ct or mri"
IQ: TENORRAFIA DE FLEXORES DE DEDOS (CADA UNO) CON NEURORRAFIA,IQ: TENORRHAPHY OF FINGER FLEXORS (EACH) WITH NEURORRHAPHY,,
OSTEOTOMÍA VALGUIZANTE,VALGUIZING OSTEOTOMY,S2115,Periacetabular osteotomy
SEPTORINOPLASTIA,SEPTORINOPLASTY,,
RMN CEREBRO,BRAIN MRI,G9538,Adv brain image ordered
CONDROPLASTIA -MENISECTOMIA,CHONDROPLASTY-MENISECTOMY,G0289,"Arthro, loose body + chondro"
RESECCION DE MASA Y RECONSTRUCCION,MASS RESECTION AND RECONSTRUCTION,,
"IQ: MIOMECTOMIA UTERINA UNICA O MULTIPLE POR HISTEROSCOPIA, MIOMECTOMIA UTERINA UNICA O MILTIPLE POR LAPAROSCOPIA","IQ: SINGLE OR MULTIPLE UTERINE MYOMECTOMY BY HYSTEROSCOPY, SINGLE OR MULTIPLE UTERINE MYOMECTOMY BY LAPAROSCOPY",,
LAPAROSCOPIA.,LAPAROSCOPY.,G0342,Laparoscopy islet cell trans
CORRECCION DE HALLUX VALGUS BILATERAL.,CORRECTION OF BILATERAL HALLUX VALGUS.,,
RESECCION NEUROMA PRIMER DEDO MANO IZQ,NEUROMA RESECTION FIRST FINGER OF LEFT HAND,,
LIBERACION TERCER ARTEJO MANO IZQ,THIRD LEFT HAND ART RELEASE,,
EXTRACCION,EXTRACTION,,
MASTECTOMIA SENO IZQ,LEFT BREAST MASTECTOMY,G9708,Bilat mast/hx bi /unilat mas
TUNEL DEL TARSO PIE DERECHO,RIGHT FOOT TARSAL TUNNEL,,
RMN DE PULMÓN .,LUNG MRI.,G9424,Site no lung or lung cx
REDUCCION ABIERTA Y OTS,OPEN REDUCTION AND OTS,,
CORRECCION MALROTACION INTESTINAL,INTESTINAL MALROTATION CORRECTION,G2097,Dx uri 3d after other dx
TRASPLANTE RENAL,KIDNEY TRANSPLANTATION,S2065,Simult panc kidn trans
HEMORROIDECTOMIA.,HEMORRHOIDECTOMY.,,
INSERCIÓN DE DISPOSITIVO GLAUCOMA OI .,OI GLAUCOMA DEVICE INSERTION.,,
EXTRACCION CUERPO EXTRAÑO MANO DERECHO,FOREIGN BODY EXTRACTION RIGHT HAND,,
LIGADURA DE TROMPAS LAPAROSCOPICA,LAPAROSCOPIC TUBAL LIGATION,S2079,Lap esophagomyotomy
"TENOTOMÍA , REDUCCIÓN VÍA INTERNA .","TENOTOMY, INTERNAL WAY REDUCTION.",,
"IQ: BIOPSIA UNICA DE VEJIGA TRANSURETRAL, ...","IQ: SINGLE TRANSURETHRAL BLADDER BIOPSY, ...",,
NEFRECTOMIA,NEPHRECTOMY,,
QX MAXILOFACIAL,MAXILLOFACIAL QX,L8048,Unspec maxillofacial prosth
RMN E CABEZA Y CUELLO,MRI HEAD AND NECK,G9111,Onc dx head/neck m1 mets rec
ENDOSCOPIA VDA,VDA ENDOSCOPY,C9779,Esd endoscopy or colonoscopy
ARTROSCOPIA MANGUITO ROTADOR,ROTATOR Cuff ARTHROSCOPY,L7259,Electronic wrist rotator any
RESONANCIA CEREBRAL,BRAIN RESONANCE,S8040,Topographic brain mapping
ADENOAMIGDALECTOMIA + TURBINOPLASTIA,ADENOAMIGDALECTOMY + TURBINOPLASTY,,
RESECCION Y NEUROLISIS DE LESIONES N PERONEO DERECHO,RESECTION AND NEUROLYSIS OF RIGHT PERONEUM LESIONS,,
IQ: RESECCIÓN ENDOSCOPICA DE LESIÓN EN LARINGE,IQ: ENDOSCOPIC RESECTION OF INJURY IN THE LARYNX,,
ADENOIDECTOMIA Y TUBOS VENTILATORIOS,ADENOIDECTOMY AND VENTILATORY TUBES,,
MIOMECTMIA POR LAPAROTOMIA,MYOMECTMY BY LAPAROTOMY,,
FACO Y LIO AMBOS OJOS,PHACO AND IOL BOTH EYES,,
CORRECCIÓN QUIRÚRGIC DEDO EN MARTILLO,SURGICAL CORRECTION OF HAMMER TOE,,
IQ: TENOSINOVECTOMÍA FLEXORES MANO UNO O MAS,IQ: HAND FLEXOR TENOSINOVECTOMY ONE OR MORE,,
ENDOSCOPIA/DILATACIONES ESOFAGICAS,ENDOSCOPY/ESOPHAGEAL DILATATIONS,C9779,Esd endoscopy or colonoscopy
IQ: RESECCION DE CHALAZION VIA ANTERIOR,IQ: CHALAZION RESECTION VIA ANTERIOR,,
EVDA Y BX,EVDA AND BX,,
POMEROY,POMEROY,,
RMN DE CEREBRO,BRAIN MRI,G9538,Adv brain image ordered
RMN HOMBROS,MRI SHOULDERS,C8937,Cad breast mri
CESAREA,CAESAREAN SECTION,L1945,Afo molded plas rig ant tib
IQ: RESECCION DE TUMOR BENIGNO O MALIGNO DE PARPADO ESPESOR PARCIAL DOS TERCIOS,"IQ: RESECTION OF BENIGN OR MALIGNANT TUMORS OF THE EYELID, PARTIAL THICKNESS TWO THIRDS",,
GASTROSTOMIA POR VIA PERCUTÁNEA,PERCUTANEOUS GASTROSTOMY,A5200,Percutaneous catheter anchor
DESCOMPRESION DEL TUNEL DEL CARPO,CARPAL TUNNEL DECOMPRESSION,,
ARTRODESIS SUBTALAR,SUBTALAR ARTHRODESIS,S2117,"Arthroereisis, subtalar"
HEMITIROIDECTOMIA DERECHA .,RIGHT HEMITYROIDECTOMY.,C1605,"Pmkr, dual, leadless"
RECONSTRUCCION LCA,ACL RECONSTRUCTION,V2790,Amniotic membrane
TTO QUIRURGICO,SURGICAL TTO,A4550,Surgical trays
EDVA,EDVA,,
RESONANCIA DE CUELLO,NECK RESONANCE,A6513,Compress burn mask face/neck
CIRUGIA DE CABEZA Y CUELLO DE ALTA COMPLEJIDAD,HIGH COMPLEXITY HEAD AND NECK SURGERY,,
CORRECCION D EGENU VALGO,CORRECTION OF D EGENU VALGUUS,,
CIRUGÍA RECONSTRUCTIVA MÚLTIPLE DE MI,MI MULTIPLE RECONSTRUCTIVE SURGERY,C9728,"Place device/marker, non pro"
EVDA COLONOSCOPIA,EVDA COLONOSCOPY,G6019,Colonoscopy lesion removal
RESECCION DE MASA EN MUSLO IZQ E INFILTRACION,RESECTION OF MASS IN LEFT THIGH AND INFILTRATION,,
REDUCCIÓN DIFERIDA DE HPN.,DEFERRED PNH REDUCTION.,,
RESECCION,RESECTION,G9613,Doc post surg anatomy
ESFINTEROTOMÍA ANAL .,ANAL SPHINTEROTOMY.,L8605,Inj bulking agent anal canal
ENDOSCOPIA VDA .,VDA ENDOSCOPY.,C9779,Esd endoscopy or colonoscopy
TURBINOPLASTIA,TURBINOPLASTY,,
TIROIDECTOMIA TOTAL Y VACIAMIENTO,TOTAL THYROIDECTOMY AND EMPTYING,,
EVDA,EVDA,,
FIBRONASOLARINGOSCOPIA,FIBRONASOLARYNGOSCOPY,,
RMN SACROILÍACAS .,SACROILIAC MRI.,G0259,Inject for sacroiliac joint
ESTERIIZACION FEMENINA POR LAPAROSCOPIA,FEMALE STERIIZATION BY LAPAROSCOPY,,
ABLACIÓN POR RADIOFRECUENCIA GUIADA POR TAC BAJO ANESTESIA,CT-GUIDED RADIOFREQUENCY ABLATION UNDER ANESTHESIA,,
TURBINOPLATIA SEPTOPLSATIA,TURBINOPLATIA SEPTOPLSATIA,,
RESECCIN,RESECTION,G9613,Doc post surg anatomy
LAPAROSCOPIA LIBERACION DE ADHERENCIAS,LAPAROSCOPY RELEASE OF ADHESIONS,,
HRNIORRAFIA INGUINAL POR LAPAROSCOPIA,INGUINAL HRNIORRAPHY BY LAPAROSCOPY,,
BIOPSIA MXILAR,MXILLAR BIOPSY,G0364,Bone marrow aspirate &biopsy
LAPAROSCOPIA DIAGNOSTICA,DIAGNOSTIC LAPAROSCOPY,G4001,Diagnostic rad ss
ARTROSCOPIA DE RODILLA IZQ,LEFT KNEE ARTHROSCOPY,G9502,Med reas no perf foot exam
RESECCIÓN DE TU OR DE OVARIO,OVARIAN OR RESECTION,G9114,Onc dx ovarian stg1a-b or 2
CPRE,ERCP,C7541,Ercp w/ pancreatoscopy
RESECCION DE GANGLION MANO DERECHA,RIGHT HAND GANGLION RESECTION,,
OTS DE DEDO MANO IZQUIERDA,LEFT HAND FINGER OTS,,
REDUCCION ABIERTA RADIO IZQUIERDO,OPEN REDUCTION LEFT RADIUS,,
CESÁREA .,CESAREAN SECTION.,S9438,Cesarean birth class
MOHS,MOHS,,
ARTROSCOPIA RODILLA DERECHA,RIGHT KNEE ARTHRSCOPY,G9502,Med reas no perf foot exam
"FISTULECTOMIA , EFINTEROTOMÍA ANAL .","FISTULECTOMY, ANAL EFINTEROTOMY.",,
RMN,NMR,,
HERNIORRAFIA UNGUINAL Y UMBILICAL LAPAROSCOPICA,LAPAROSCOPIC UNGUINAL AND UMBILICAL HERNIORRHAPHY,,
TRANSPLANTE RENAL INTRAFAMILIAR,INTRAFAMILY KIDNEY TRANSPLANTATION,S2065,Simult panc kidn trans
CIERRE COLOSTOMIA,COLOSTOMY CLOSURE,C1760,"Closure dev, vasc"
"CMBIO DE CÁNULA , RESECCIÓN DE GRANULOMAS PREOSTOMALES .","CHANGE OF CANNULA, RESECTION OF PREOSTOMAL GRANULOMAS.",,
RESECCIÓN DE TUMOR,TUMOR RESECTION,G8723,Spec sit not prim tumor
RMN DE PELVIS,PELVIS MRI,C8918,"Mra w/cont, pelvis"
EXTRACCION QUIRURGICANB MAT DE OTS EN TIBIA,SURGICAL EXTRACTIONNB MAT OF OTS IN TIBIA,,
FISTULECTOMIA,FISTULECTOMY,,
S ABLACION DE LESION RETINAL POR LASER AMBOS OJOS,S ABLATION OF RETINAL LESION BY LASER BOTH EYES,,
"IQ: RESINA DIENTE TEMPORAL 2 3 O 4 SUPERFICIES, ...","IQ: TEMPORARY TOOTH RESIN 2, 3 OR 4 SURFACES, ...",,
CIERRE PERCUTANEO DE DAP,PERCUTANEOUS DAP CLOSURE,A5200,Percutaneous catheter anchor
"IQ: LIBERACION DE ADHERENCIAS PERIURETERALES Y PERICALICIALES [URETEROLISIS] O [PIELOURETEROLISIS], ...","IQ: RELEASE OF PERIURETERAL AND PERICALICIAL ADHESIONS [URETEROLYSIS] OR [PIELOURETEROLYSIS], ...",,
DONACION MEDULA OSEA,BONE MARROW DONATION,G0364,Bone marrow aspirate &biopsy
CUADRANTECTOMIA,QUADRANTECTOMY,,
"IQ: ESCISIÓN Y ABLACIÓN DE ENDOMETROSIS ESTADOS III Y IV POR LAPAROSCOPIA, ...","IQ: EXCISION AND ABLATION OF ENDOMETROSIS STATES III AND IV BY LAPAROSCOPY, ...",,
CIRUGIA ORTOPEDICA DE MEDIANA COMPLEJIDAD,MEDIUM COMPLEXITY ORTHOPEDIC SURGERY,,
ATORVASTECTOMIA MAMA DERECHA MAS COLGAJO,RIGHT BREAST ATORVASTECTOMY PLUS FLAP,,
ORQUIDECTOMIA,ORCHIDECTOMY,,
CIRCUNSICION,CIRCUMSITION,,
CUADRICEPTOPLASTIA,QUADRICEPTOPLASTY,,
LIPOESCULTURA,LIPOSCULPTURE,,
EXODONCIAS Y RESECCION DE QUISTE,EXODONTICS AND CYST RESECTION,,
OSTEOTOMIA DE TIBIA,TIBIA OSTEOTOMY,C8003,Imp extar knee shck absrb
HEMICOLECTOMIA,HEMICOLECTOMY,G9613,Doc post surg anatomy
ARTROSCOPIA,ARTHRSCOPY,,
RESECCIÓN DE FIBROSIS .,FIBROSIS RESECTION.,G2175,Pt comorb dx 12m of epi
"IQ: BIOPSIA DE TEJIDO BLANDO: MUSCULOS, TENDON, FASCIA Y BURSA (INCLUYENDO MANO) VIA ABIERTA","IQ: SOFT TISSUE BIOPSY: MUSCLES, TENDON, FASCIA AND BURSA (INCLUDING HAND) OPEN APPROACH",,
FACO MAS LIO,PHACO MORE LIO,,
ARTROSCOPIA DE RODILLA MENISCO Y CONDROPLASTIA,KNEE MENISCUS ARTHROSCOPY AND CHONDROPLASTY,,
"ADENOIDECTOMIA, TURBINOPLASTIA","ADENOIDECTOMY, TURBINOPLASTY",,
CIRUGÍA ORTOGNÁTICA .,ORTHOGNATIC SURGERY.,G9643,Elective surgery
ANGIORMN CEREBRAL,BRAIN ANGIORMN,S8040,Topographic brain mapping
"CIERRE DE FSITULA INTESTINAL , COLOOSOCPIA .","INTESTINAL FISCULATION CLOSURE, COLOOSOCPY.",,
RESECCION TUMOR OD,OD TUMOR RESECTION,G2142,Fs odi 9-15mo postop<= 22
TENOSINOVENTOMIA PULGAR IZQ,LEFT THUMB TENOSINOVENTOMY,G8395,Lvef>=40% doc normal or mild
RMN CEREBRO + COLUMNA TOTAL,MRI BRAIN + TOTAL SPINE,,
CIRUCUNCISIÓN .,CIRUCUNCISION.,,
IQ: CIRUGIA ONCOLOGICA ORTOPEDICA COMPLEJIDAD MEDIANA,IQ: MEDIUM COMPLEXITY ORTHOPEDIC ONCOLOGICAL SURGERY,,
RECOINSTRUCCIÓN LCA,ACL REINSTRUCTION,,
DESCOMPESION TUNEL DEL CARPO.,CARPAL TUNNEL DECOMPESION.,,
COLONOSOCPIA .,COLONOSOPY.,,
RESECCIÓN DE LESIÓN EN NASOFARINGE .,RESECTION OF NASOPHARYNX LESION.,,
MICROLARINGOSCOPIA Y BIOPSIA,MICROLARYNGOSCOPY AND BIOPSY,G8883,"Rev, comm, track, doc biopsy"
"IQ: PROSTATECTOMIA RADICAL POR LAPAROSCOPIA, LINFADENECTOMIA RADICAL PELVICA VIA LAPAROSCOPICA","IQ: RADICAL PROSTATECTOMY BY LAPAROSCOPY, PELVIC RADICAL LYMPHADENECTOMY VIA LAPAROSCOPIC",,
CAMBIO NEFROSTOMIA IZD/Y DOBLE J DERA/,CHANGE NEPHROSTOMY LEFT/AND DOUBLE J RIGHT/,,
ARTROSCOPIA DE RODILLA DERECHA,ARTHRSCOPY OF THE RIGHT KNEE,,
IQ: ESCISIÓN Y ABLACIÓN DE ENDOMETROSIS ESTADOS III Y IV POR LAPAROSCOPIA,IQ: EXCISION AND ABLATION OF ENDOMETROSIS STATES III AND IV BY LAPAROSCOPY,,
"REVISION DE VITRECTOMIA , RETIRO DE SILICON","VITRECTOMY REVISION, SILICON REMOVAL",,
RETIRO DE MATERIAL DE OSTEOSISNTESIS MUÑECA IZQUIERDA,REMOVAL OF OSTEOSISNTHESIS MATERIAL LEFT WRIST,,
BLEFAROPLASTIA BILATERAL,BILATERAL BLEPHAROPLASTY,L1690,Combination bilateral ho
FRESADO INJERTOS OSEOS TIBIA DERECHA,MILLING BONE GRAFTS RIGHT TIBIA,,
REDUCCION VIA ANTERIOR,PREVIOUS ROAD REDUCTION,G9999,Doc sys rsn <3 colon
PAROTIDECTOMIA IZQUIERDA,LEFT PAROTIDECTOMY,G8395,Lvef>=40% doc normal or mild
"IQ: SINUSOTOMIA FRONTAL VIA TRANSNASAL ENDOSCOPICA, ...","IQ: FRONTAL SINUSOTOMY VIA TRANSNASAL ENDOSCOPIC, ...",,
LAPAROSCOPIA,LAPAROSCOPY,G0342,Laparoscopy islet cell trans
RESECCION DE LA LESION,RESECTION OF THE LESION,C7501,Perc bx breast lesions stero
RNM COLUMNA LUMBAR CON CONTRASTE,LUMBAR SPINE MRI WITH CONTRAST,,
"IQ: LIGAMENTORRAFIA O REINSERCION DE LIGAMENTOS VIA ABIERTA, REDUCCION ABIERTA DE FRACTURA EN SEGMENTO PROXIMAL DE RADIO","IQ: LIGAMENTORRHAPHY OR REINSERTION OF LIGAMENTS VIA OPEN, OPEN FRACTURE REDUCTION IN PROXIMAL RADIUS SEGMENT",,
MIGDALECTOMIA,MIGDALECTOMY,,
NEFROLITOTOMIA PERCUTANEA,PERCUTANEOUS NEPHROLITHOTOMY,A5200,Percutaneous catheter anchor
CX ORTOPEDICA,ORTHOPEDIC CX,G4021,Orthopedic surgery ss
EXAMEN BAJO ANESTESIA,EXAMINATION UNDER ANESTHESIA,C9792,Blind/nonblind trans atrial
RETIRO CAT IMPLANTABLE,IMPLANTABLE CAT RETIREMENT,C1781,Mesh (implantable)
ARTROSCOPIA RODILLA IZQUIERDA,LEFT KNEE ARTHROSCOPY,G9502,Med reas no perf foot exam
RESECCION GANGLION MANO IZQ,LEFT HAND GANGLION RESECTION,,
IQ: PROCTOPEXIA ABDOMINAL VIA LAPAROSCOPICA,IQ: ABDOMINAL PROCTOPEXY VIA LAPAROSCOPIC,,
IQ: SALPINGECTOMIA BILATERAL TOTAL POR LAPAROSCOPIA,IQ: TOTAL BILATERAL SALPINGECTOMY BY LAPAROSCOPY,,
IQ: EXTRACCION EXTRACAPSULAR ASISTIDA DE CRISTALINO,IQ: ASSISTED EXTRACAPSULAR GLASS EXTRACTION,,
"IQ: ARTRODESIS CALCANEOCUBOIDEA VIA ABIERTA, ARTRODESIS TALONAVICULAR VIA ABIERTA, ARTRODESIS SUBTALAR VIA ABIERTA","IQ: CALCANEOCUBOID ARTHRODESIS VIA OPEN, TALONAVICULAR ARTHRODESIS VIA OPEN, SUBTALAR ARTHRODESIS VIA OPEN",,
CESÁREA + POMEROY,CESAREAN SECTION + POMEROY,S9438,Cesarean birth class
ARTROSCOPIA TOBILLO DERECHO,RIGHT ANKLE ARTHROSCOPY,C1605,"Pmkr, dual, leadless"
"CURETAJE ÓSEO , RETIRO DE MAT OTS .","BONE CURETATION, MAT OTS REMOVAL.",,
ARTRSOCOPIA DE RODILLA IZQUERDA,ARTHROSCOPY OF THE LEFT KNEE,G0289,"Arthro, loose body + chondro"
EVDA .,EVDA.,,
CX ORTOPEDIA PIES BILATERAL,CX ORTHOPEDIC BILATERAL FEET,,
FISTULECTOMÍA PERIANAL .,PERIANAL FISTULECTOMY.,A4330,Stool collection pouch
IQ: REMODELACION DE MENISCO MEDIAL Y LATERAL POR ARTROSCOPIA,IQ: MEDIAL AND LATERAL MENISCUS REMODELING BY ARTHROSCOPY,,
HERNORRAFIA UMBILICAL,UMBILICAL HENORRRHAPHY,S2150,Bmt harv/transpl 28d pkg
TAC TORAX Y CUELLO,CHEST AND NECK CT,G0183,Software meas of cardiac vol
RNM DE CADERA.,HIP MRI.,L5702,Replace socket hip
RESECCION Y HERNIORRAFIA UMBILICAL,UMBILICAL RESECTION AND HERNIORRHAPHY,,
ARTROSOCPIA DE MUÑECA IZQUIERDA,ARTHROSOCPIY OF THE LEFT WRIST,,
DONANTE DE RIÑON PARA TRASPLANTE,KIDNEY DONOR FOR TRANSPLANTATION,S2061,Donor lobectomy (lung)
