input_es,input_en,icd11_code,icd11_title,icd11_uri,icd10cm_code,icd10cm_term
CLAUSTROFOBIA,CLAUSTROPHOBIA,,,,F40.240,Claustrophobia
DEFORMIDAD EN PIE,FOOT DEFORMITY,,,,Q66.80,"Congenital vertical talus deformity, unspecified foot"
S. TUNEL DEL TARSO PIE DERECHO,S. TARSI TUNNEL RIGHT FOOT,,,,M20.41,"Other hammer toe(s) (acquired), right foot"
MIOMAS UTERINOS,UTERINE MYOMAS,,,,O62.1,Secondary uterine inertia
FX CONMINUTA HUESOS PROPIOS,FX COMMINUTES OWN BONES,,,,Y36.241S,"War operations involving explosion due to accidental detonation and discharge of own munitions or munitions launch device, civilian, sequela"
LESION MALAR DERECHA,RIGHT MALAR INJURY,,,,S02.40AS,"Malar fracture, right side, sequela"
LESION TRAUMATICA COLUMNA,TRAUMATIC SPINE INJURY,,,,I5A,Non-ischemic myocardial injury (non-traumatic)
POP TUMOR RENAL,POP KIDNEY TUMOR,,,,C7A.093,Malignant carcinoid tumor of the kidney
OTRAS SINOVITIS Y TENOSINOVITIS,OTHER SYNOVITIS AND TENOSYNOVITIS,,,,M65.88,"Other synovitis and tenosynovitis, other site"
OTROS CARCINOMAS IN SITU DE LA MAMA,OTHER IN SITU CARCINOMAS OF THE BREAST,,,,D05.80,Other specified type of carcinoma in situ of unspecified breast
TRAUMATISMO DEL NERVIO DIGITAL DEL PULGA,FLEA DIGITAL NERVE TRAUMA,,,,S64.30XS,"Injury of digital nerve of unspecified thumb, sequela"
FRACTURA DE LA EPIFISIS INFERIOR DEL HUM,FRACTURE OF THE LOWER EPIPHYSIS OF THE HUM,,,,S52.501S,"Unspecified fracture of the lower end of right radius, sequela"
TRAUMA MAXILAR SUPERIOR,UPPER MAXILLARY TRAUMA,,,,G83.0,Diplegia of upper limbs
ACROMEGALIA Y GIGANTISMO HIPOFISARIO,ACROMEGALY AND PITUITARY GIGANTISM,,,,E22.0,Acromegaly and pituitary gigantism
GRANULOMA PULGAR MANO DER,RIGHT HAND THUMB GRANULOMA,,,,S66.211S,"Strain of extensor muscle, fascia and tendon of right thumb at wrist and hand level, sequela"
MAREO,DIZZINESS,,,,R42,Dizziness and giddiness
FX MUÑECA DER,FX RIGHT WRIST,,,,M21.331,"Wrist drop, right wrist"
MALFORMACIONES CONGENITAS DE LA FIJACION,CONGENITAL MALFORMATIONS OF FIXATION,,,,Q43.3,Congenital malformations of intestinal fixation
HIPERTROFIA DE LAS AMIGDALAS CON HIPERTR,HYPERTROPHY OF THE TONSILS WITH HYPERTR,,,,J35.3,Hypertrophy of tonsils with hypertrophy of adenoids
CONSEJO Y ASESORAMIENTO GENERAL SOBRE LA,ADVICE AND GENERAL ADVICE ON THE,,,,Z30.09,Encounter for other general counseling and advice on contraception
INSUFICIENCIA RENL TERMINAL,TERMINAL RENL INSUFFICIENCY,,,,N26.1,Atrophy of kidney (terminal)
HEMORROIDES,HEMORRHOIDS,,,,K64.8,Other hemorrhoids
EFORMIDAD DEDO EN MARTILLO,HAMMER TOE EFORMITY,,,,M20.40,"Other hammer toe(s) (acquired), unspecified foot"
DOLOR ABDOMINAL .,ABDOMINAL PAIN.,,,,R10.84,Generalized abdominal pain
DISPLASIA DE CADERA DERECHA,RIGHT HIP DYSPLASIA,,,,M16.31,"Unilateral osteoarthritis resulting from hip dysplasia, right hip"
SECUELAS DE NEUMONÍA COMPLICADA,SEQUELUES ​​OF COMPLICATED PNEUMONIA,,,,O69.0XX1,"Labor and delivery complicated by prolapse of cord, fetus 1"
GLAUCOMA,GLAUCOMA,,,,H40.9,Unspecified glaucoma
CANCER DE NASOFARINGE,NASOPHARYNX CANCER,,,,D10.6,Benign neoplasm of nasopharynx
SIND CONVULSIVO,CONVULSIVE SYND,,,,A39.1,Waterhouse-Friderichsen syndrome
DONANTE,DONOR,,,,Z52.4,Kidney donor
FALLA RENAL,KIDNEY FAILURE,,,,N19,Unspecified kidney failure
LESION MANGUITO ROTADOR IZDO,LEFT ROTATOR Cuff INJURY,,,,S46.002S,"Unspecified injury of muscle(s) and tendon(s) of the rotator cuff of left shoulder, sequela"
ADENOIDECTOMIA Y TUBOS VENTILATORIOS,ADENOIDECTOMY AND VENTILATORY TUBES,,,,D28.2,Benign neoplasm of uterine tubes and ligaments
LESION LCA RODILLA IZDA,LEFT KNEE ACL INJURY,,,,S87.02XS,"Crushing injury of left knee, sequela"
CATARATA AMBOS OJOS,CATARACT BOTH EYES,,,,H54.3,"Unqualified visual loss, both eyes"
LESION CUERDA VOCAL,VOCAL CORD INJURY,,,,J38.1,Polyp of vocal cord and larynx
CISTITIS INTERSTICIAL,INTERSTITIAL CYSTITIS,,,,N30.10,Interstitial cystitis (chronic) without hematuria
MAL ROTACION INTESTINAL ???,BAD INTESTINAL ROTATION???,,,,B78.0,Intestinal strongyloidiasis
MASA GLUTEO IZQ,LEFT GUTEOUS MASS,,,,R19.02,"Left upper quadrant abdominal swelling, mass and lump"
TUMOR PARPADO OJO DERECHO,EYELID TUMOR RIGHT EYE,,,,H02.533,"Eyelid retraction right eye, unspecified eyelid"
CHALAZION,CHALAZION,,,,H00.11,Chalazion right upper eyelid
TUMOR EN M I DERECHO,TUMOR IN MY RIGHT,,,,M25.511,Pain in right shoulder
DEFORMIDAD EN EL DEDO,FINGER DEFORMITY,,,,M21.241,"Flexion deformity, right finger joints"
ENFERMEDAD ACIDO-PEPTICA,ACID-PEPTIC DISEASE,,,,Z87.11,Personal history of peptic ulcer disease
MASA PARPADO SUP OD,EYELID MASS SUP OD,,,,H02.531,Eyelid retraction right upper eyelid
QUISTE RETINACULAR,RETINACULAR CYST,,,,G96.191,Perineural cyst
G1P0/EMBZO TERMINO,G1P0/EMBZO TERMINATED,,,,D80.3,Selective deficiency of immunoglobulin G [IgG] subclasses
ESTENOSIS ESOFAGICA,ESOPHAGEAL STENOSE,,,,K22.2,Esophageal obstruction
TUNEL DEL CARPO,CARPAL TUNNEL,,,,G56.00,"Carpal tunnel syndrome, unspecified upper limb"
"BOCIO , NÓDULO TIROIDEO .","GOITRE, THYROID NODULE.",,,,E04.1,Nontoxic single thyroid nodule
CEFALEA .,HEADACHE.,,,,G44.81,Hypnic headache
DOLOR ARTICULAR,JOINT PAIN,,,,M25.50,Pain in unspecified joint
ESGUINCE TOBILLO IZQ .,LEFT ANKLE SPRAIN.,,,,S93.402S,"Sprain of unspecified ligament of left ankle, sequela"
GRANULOMAS PRESTOMALES TQT,TQT PRESTOMAL GRANULOMAS,,,,,
FISURA ANAL .,ANAL FISSURE.,,,,K60.0,Acute anal fissure
TRAUMA MI,TRAUMA MY,,,,K08.81,Primary occlusal trauma
EPIGASTRALGIA,EPIGASTRALGIA,,,,,
ESTRECHEZ DE VÍA BILIAR,Narrowness of the bile duct,,,,K83.1,Obstruction of bile duct
QUISTE Y DIENTES INCLUIDOS,CYST AND TEETH INCLUDED,,,,Q18.1,Preauricular sinus and cyst
RONCOPATIA,SRONOPATHY,,,,,
SOSPECHA DE ENF CELIACA,SUSPECTED CELIAC DISEASE,,,,Z20.9,Contact with and (suspected) exposure to unspecified communicable disease
HIPERTROFIA DE CORNETES Y DESVIACION SEPTAL,CORNETAL HYPERTROPHY AND SEPTAL DEVIATION,,,,M89.339,"Hypertrophy of bone, unspecified ulna and radius"
HIPERTROFIA DE CORNETES,CORNETAL HYPERTROPHY,,,,J35.3,Hypertrophy of tonsils with hypertrophy of adenoids
PARIDAD SATISFECHA,SATISFIED PARITY,,,,,
HENIA INGUNAL,HENIA INGUNAL,,,,,
LESION DE MENISCOP,MENISCOP INJURY,,,,P15.2,Sternomastoid injury due to birth injury
HERNIA INGUINAL Y UMBILICAL,INGUINAL AND UMBILICAL HERNIA,,,,C77.4,Secondary and unspecified malignant neoplasm of inguinal and lower limb lymph nodes
ENDOMETRIOSIS ADHERENCIAS,ENDOMETRIOSIS ADHERENCES,,,,N80.8,Other endometriosis
PAPILOMA EN CUERDA VOCAL,VOCAL CORD PAPILLOMA,,,,J38.1,Polyp of vocal cord and larynx
FRACTURA HUESOS PROPIOS DE NARIZ,NOSE BONES FRACTURE,,,,S02.2XXS,"Fracture of nasal bones, sequela"
SD METICO EN ESTUDIO,SD METICO IN STUDY,,,,Z63.1,Problems in relationship with in-laws
CARCINOMA BASOCELULAR,BASEL CELL CARCINOMA,,,,C22.0,Liver cell carcinoma
DOLOR PELVICO CRONICO,CHRONIC PELVIC PAIN,,,,N73.4,Female chronic pelvic peritonitis
DOLOR ABDOMINAL EN ESTUDIO,ABDOMINAL PAIN IN STUDY,,,,R10.84,Generalized abdominal pain
NEUROFIBROMATOSIS??,NEUROFIBROMATOSIS??,,,,Q85.00,"Neurofibromatosis, unspecified"
ESOFAGITIS EOSINOFILICA,EOSINOPHILIC ESOPHAGITIS,,,,K20.0,Eosinophilic esophagitis
DLOR EN PIE Y HOMBRO,PAIN IN FOOT AND SHOULDER,,,,M25.571,Pain in right ankle and joints of right foot
"FISTULA, FISURA PERIANAL","FISTULA, PERIANAL FISSURE",,,,N64.0,Fissure and fistula of nipple
TUMOR OVARIO IZQUIERDO,LEFT OVARIAN TUMOR,,,,N83.202,"Unspecified ovarian cyst, left side"
NÓDULO EN CUERDAS VOCALES,NODULE IN VOCAL CORDS,,,,J38.2,Nodules of vocal cords
NÓDULO PROSTATA .,PROSTATE NODULE.,,,,A18.14,Tuberculosis of prostate
TUMOR BENIGNO CEREBRAL,BENIGN BRAIN TUMOR,,,,D33.0,"Benign neoplasm of brain, supratentorial"
TRAUMA MI DERECHO,TRAUMA MY RIGHT,,,,M87.211,"Osteonecrosis due to previous trauma, right shoulder"
EMB A TÉRMINO,TERM EMB,,,,O48.0,Post-term pregnancy
FRACTURA RADIO IZQUIERDO,LEFT RADIUS FRACTURE,,,,M84.334S,"Stress fracture, left radius, sequela"
TUMOR DE COMPORTAMIENTO INCIERTO O DESCO,TUMOR OF UNCERTAIN OR UNCERTAIN BEHAVIOR,,,,G31.84,Mild cognitive impairment of uncertain or unknown etiology
DOLOR ABDOMINAL,ABDOMINAL PAIN,,,,R10.84,Generalized abdominal pain
COLEDOCOLITIASIS,CHOLEDOCOLITIASIS,,,,,
FISTULA CONDUCTO TIROGLOSO,THYROGLOSSAL DUCT FISTULA,,,,K83.3,Fistula of bile duct
INESTABILIDAD CRONICA DE LA RODILLA,CHRONIC KNEE INSTABILITY,,,,M23.50,"Chronic instability of knee, unspecified knee"
I RENAL,I KIDNEY,,,,M26.211,"Malocclusion, Angle's class I"
DONANTE RENAL,KIDNEY DONOR,,,,Z52.4,Kidney donor
FISTULA PERIANAL,PERIANAL FISTULA,,,,K64.5,Perianal venous thrombosis
ESOFAGITIS EOSINOLIFICA,EOSINOLIFIC ESOPHAGITIS,,,,B37.81,Candidal esophagitis
HERNIA INGUINAL IZQUIERDA,LEFT INGUINAL HERNIA,,,,N83.42,Prolapse and hernia of left ovary and fallopian tube
POP TUMOR RECTO,POP RECTUM TUMOR,,,,C49.A5,Gastrointestinal stromal tumor of rectum
FOCOS SEPTICOS,SEPTIC FOCUS,,,,I76,Septic arterial embolism
TUMOR PAROTIDA IZQ,LEFT PAROTIDAL TUMOR,,,,M94.272,"Chondromalacia, left ankle and joints of left foot"
TUMOR MAMA DERECHA,RIGHT BREAST TUMOR,,,,S20.111S,"Abrasion of breast, right breast, sequela"
"POLIPO VESICAL, CISTOCELE RECTOCELE","BLADDER POLYP, CYSTOCELE, RECTOCELE",,,,N32.81,Overactive bladder
GENU VARU,GENU VARU,,,,M20.30,"Hallux varus (acquired), unspecified foot"
TUMOR RETINA,RETINAL TUMOR,,,,H33.043,"Retinal detachment with retinal dialysis, bilateral"
DONANTE DE MEDULA OSEA,BONE MARROW DONOR,,,,Z52.3,Bone marrow donor
TUMOR BRAZO DERECHO,RIGHT ARM TUMOR,,,,M79.601,Pain in right arm
MASA MAMA IZQ,LEFT BREAST MASS,,,,S20.112S,"Abrasion of breast, left breast, sequela"
LIPODISTROFIA,LIPODYSTROPHY,,,,E88.1,"Lipodystrophy, not elsewhere classified"
ENDOMETRIOSIS Y ADENOMIOSIS,ENDOMETRIOSIS AND ADENOMIOSIS,,,,N80.C11,"Endometriosis of the anterior abdominal wall, fascia and muscular layers"
PREPUCION REDUNDANTE,REDUNDANT PREPUTION,,,,L98.7,Excessive and redundant skin and subcutaneous tissue
OTROS TRASTORNOS DE LOS MENISCOS,OTHER DISORDERS OF THE MENISCUS,,,,L91.8,Other hypertrophic disorders of the skin
TUMOR BENIGNO DE LA CONJUNTIVA,Benign tumor of the conjunctiva,,,,D3A.010,Benign carcinoid tumor of the duodenum
DEFECTO POR REDUCCION LONGITUDINAL DEL F,DEFECT DUE TO LONGITUDINAL REDUCTION OF F,,,,Q71.40,Longitudinal reduction defect of unspecified radius
CATARATA OJO DERECHO,RIGHT EYE CATARACT,,,,H59.021,"Cataract (lens) fragments in eye following cataract surgery, right eye"
ORQUIEPIDIMITIS COMPLICADA,COMPLICATED ORCHEPIDYMITIS,,,,H26.20,Unspecified complicated cataract
ADENO CA DE COLON,ADENO CA DE COLON,,,,A08.2,Adenoviral enteritis
TUMOR EN NASOFARINGE,TUMOR IN NASOPHARYNX,,,,D48.112,"Desmoid tumor, intrathoracic"
FIBROSIS EN ESTOMA TRAQUEAL .,FIBROSIS IN TRACHEAL STOMA.,,,,E84.11,Meconium ileus in cystic fibrosis
CERVICOBRAQUIALGIA,CERVICOBRACHIALGIA,,,,,
PTOSIS PLPEBRAL .,PEPLEBRAL PTOSIS.,,,,Q10.0,Congenital ptosis
ISTULA PERIANAL,PERIANAL ISTULA,,,,K64.5,Perianal venous thrombosis
DESPRENDIMINETO DE RETINA,RETINAL DETACHMENT,,,,H33.043,"Retinal detachment with retinal dialysis, bilateral"
FISTULA INTESTINAL,INTESTINAL FISTULA,,,,B78.0,Intestinal strongyloidiasis
LESIÓN LCA,ACL INJURY,,,,P15.2,Sternomastoid injury due to birth injury
OSTEOMIELITIS DE FEMUR .,OSTEOMYELITIS OF FEMUR.,,,,H05.021,Osteomyelitis of right orbit
CA PROSTATA/UROPATIA OBSTRUCTIVA,PROSTATE CA/OBSTRUCTIVE UROPATHY,,,,N13.8,Other obstructive and reflux uropathy
ADENOPATIA CERVICAL DER,DER CERVICAL ADENOPATHY,,,,B00.1,Herpesviral vesicular dermatitis
QUISTE HEPATICO,LIVER CYST,,,,Z52.6,Liver donor
DOLOR EN RODILLA DERECHA,PAIN IN RIGHT KNEE,,,,M25.561,Pain in right knee
DOLRO EN RODILLA IZQUIERDA,PAIN IN LEFT KNEE,,,,M25.562,Pain in left knee
DEFORMIDAD EN VARO EN PIERNA DERECHA,VARUS DEFORMITY IN RIGHT LEG,,,,M21.121,"Varus deformity, not elsewhere classified, right elbow"
HIPERTROFIA DE AMÍGDALAS,TONSIL HYPERTROPHY,,,,D10.4,Benign neoplasm of tonsil
PTOSIS PALPEBRAL BILATERAL,BILATERAL EYELID PTOSIS,,,,H57.813,"Brow ptosis, bilateral"
DISPLASIA DE CADERA IZQUIERDA,LEFT HIP DYSPLASIA,,,,M16.32,"Unilateral osteoarthritis resulting from hip dysplasia, left hip"
DEFORMIDAD MAXILOFACIAL,MAXILLOFACIAL DEFORMITY,,,,H18.70,Unspecified corneal deformity
LESION MAMA DERECHA,RIGHT BREAST INJURY,,,,S20.111S,"Abrasion of breast, right breast, sequela"
ADENOMIOSIS Y ENDOMETRIOSIS,ADENOMIOSIS AND ENDOMETRIOSIS,,,,N80.C11,"Endometriosis of the anterior abdominal wall, fascia and muscular layers"
LESION MENISCO RODILLA DER,RIGHT KNEE MENISCUS INJURY,,,,S83.203S,"Other tear of unspecified meniscus, current injury, right knee, sequela"
FX CUPULA RADIAL,FX RADIAL DOME,,,,M65.4,Radial styloid tenosynovitis [de Quervain]
FX PIE DERECHO,FX RIGHT FOOT,,,,M21.371,"Foot drop, right foot"
HEMANGIOMA INTRAMUSCULAR,INTRAMUSCULAR HEMANGIOMA,,,,D18.00,Hemangioma unspecified site
PAPNSINUSITIS CRONICA,CHRONIC PAPNSINUSITIS,,,,A39.3,Chronic meningococcemia
JUANETILLO YDEDOS EN MARTILLO,JUANETILLO AND HAMMERFINGERS,,,,G08,Intracranial and intraspinal phlebitis and thrombophlebitis
PROLAPSO RECTAL,RECTAL PROLAPSE,,,,K62.3,Rectal prolapse
TUMOR PROSTATA,PROSTATE TUMOR,,,,A18.14,Tuberculosis of prostate
POP RESEC TUMOR OVARIO,POP OVARIAN TUMOR RESEC,,,,G57.30,"Lesion of lateral popliteal nerve, unspecified lower limb"
GASTRITIS .,GASTRITIS.,,,,K29.00,Acute gastritis without bleeding
DISFAGIA,DYSPHAGIA,,,,D50.1,Sideropenic dysphagia
OMALGIA DERECHA,RIGHT OMALGIA,,,,M94.271,"Chondromalacia, right ankle and joints of right foot"
DOLOR ROSDILA .,KNEE PAIN.,,,,M25.561,Pain in right knee
OSTEOMIELITIS,OSTEOMYELITIS,,,,A01.05,Typhoid osteomyelitis
HIPERTENSIÓN PULMONAR,PULMONARY HYPERTENSION,,,,I27.0,Primary pulmonary hypertension
DOLOR PELVICO,PELVIC PAIN,,,,R10.2,Pelvic and perineal pain
SECUELAS LUXACION IFP DEDO INDICE MANO IZDA,LEFT HAND INDEX FINGER PIP LUXATION AFTERMATH,,,,S66.111S,"Strain of flexor muscle, fascia and tendon of left index finger at wrist and hand level, sequela"
G3C1A1/CESAREA PREVIA,G3C1A1/PREVIOUS CAESAREAN SECTION,,,,D80.3,Selective deficiency of immunoglobulin G [IgG] subclasses
LITIASIS RENAL IZDO,LEFT KIDNEY LITHIASIS,,,,D30.02,Benign neoplasm of left kidney
MALFORMACION DEL URACO,URACUS MALFORMATION,,,,Q64.4,Malformation of urachus
TENOSINOVITIS 5 DEDO MANO IZDA,TENOSYNOVITIS 5 FINGER LEFT HAND,,,,M65.142,"Other infective (teno)synovitis, left hand"
FRENILLO CORTO PENE,SHORT PENIS BRACE,,,,E34.31,Constitutional short stature
FERTILIDAD SATISFECHA,SATISFIED FERTILITY,,,,Z31.41,Encounter for fertility testing
CA DE PRÓSTATA,PROSTATE CA,,,,A18.14,Tuberculosis of prostate
GANGLION,GANGLION,,,,M67.40,"Ganglion, unspecified site"
"TRASTORNO DE LA MAMA, NO ESPECIFICADO","BREAST DISORDER, UNSPECIFIED",,,,N64.9,"Disorder of breast, unspecified"
MACROCRÁNEO,MACROSKULL,,,,,
CALCULO DE LA VESICULA BILIAR SIN COLECI,CALCULATION OF THE GALLBLADDER WITHOUT COLLECTION,,,,I71.21,"Aneurysm of the ascending aorta, without rupture"
NÓDULO TIROIDEO,THYROID NODULE,,,,E04.1,Nontoxic single thyroid nodule
HALLUX VALGUS,HALLUX VALGUS,,,,M20.10,"Hallux valgus (acquired), unspecified foot"
REFLUJO GASTRITIS,GASTRITIS REFLUX,,,,K29.00,Acute gastritis without bleeding
LIPOMA EN ANO.,LIPOMA IN ANUS.,,,,T18.5XXS,"Foreign body in anus and rectum, sequela"
LESION PIE IZQUIERDO,LEFT FOOT INJURY,,,,S97.82XS,"Crushing injury of left foot, sequela"
PREPUSIO REDUNDANTE,REDUNDANT PREPUSE,,,,L98.7,Excessive and redundant skin and subcutaneous tissue
FX HUMERO DER,FX HUMERO RIGHT,,,,M94.271,"Chondromalacia, right ankle and joints of right foot"
FX CUBITO Y RADIO IZDO,FX CUBE AND LEFT RADIO,,,,M65.872,"Other synovitis and tenosynovitis, left ankle and foot"
LESION MENISCO DERECHA,RIGHT MENISCUS INJURY,,,,S83.203S,"Other tear of unspecified meniscus, current injury, right knee, sequela"
HERNIORRAFINA INGUINAL BILATERAL,BILATERAL INGUINAL HERNIORRAFINE,,,,Q53.212,Bilateral inguinal testes
- GAMMOPATIA MONOCLONAL TIPO IGG KAPPA EN TIPIFICACION,- IGG KAPPA TYPE MONOCLONAL GAMMOPATHY IN TYPIFICATION,,,,F50.014,"Anorexia nervosa, restricting type, in remission"
MIOMAS,MYOMAS,,,,,
LITIASIS RENAL DER,DER KIDNEY LITHIASIS,,,,B00.1,Herpesviral vesicular dermatitis
HALLUX VALGUS BILATERAL/DEDOS GARRA,BILATERAL HALLUX VALGUS/CLAW FINGERS,,,,Q71.63,"Lobster-claw hand, bilateral"
DESVIACION MANDIBULAR,MANDIBULAR DEVIATION,,,,M26.03,Mandibular hyperplasia
